Facility Name,Address,County,City,Zip,Number of Beds,Location
The Pavilion at Robinson Terrace,One Buntline Drive,Delaware,Stamford,12167,60,"One Buntline Drive
Stamford, NY 12167
(42.40194479200005, -74.61881055799995)"
Atria East Northport,10 Cheshire Place,Suffolk,East Northport,11731,200,"10 Cheshire Place
East Northport, NY 11731
(40.875456995000036, -73.32197098699999)"
Woodcrest Commons,4455 West Henrietta Road,Monroe,Henrietta,14467,120,"4455 West Henrietta Road
Henrietta, NY 14467
(43.06357800600006, -77.65001597699995)"
Heritage Home for Women,1519 Union Street,Schenectady,Schenectady,12309,36,"1519 Union Street
Schenectady, NY 12309
(42.80766098400005, -73.91127896199998)"
The Villa at Westhampton,68 Old Country Road,Suffolk,Westhampton,11977,100,"68 Old Country Road
Westhampton, NY 11977
(40.82676798600005, -72.67675102299995)"
"Cedarbrook Village, Incorporated",101 Sitrin Lane,Oneida,New Hartford,13413,65,"101 Sitrin Lane
New Hartford, NY 13413
(43.068400000000054, -75.28725999999995)"
The W Assisted Living at Riverdale Home for Adults,6355 Broadway,Bronx,Bronx,10471,256,"6355 Broadway
Bronx, NY 10471
(40.901429998000026, -73.89703198999996)"
Samaritan Summit Village,22691 Campus Drive,Jefferson,Watertown,13601,120,"22691 Campus Drive
Watertown, NY 13601
(43.94875501000007, -75.90798198999994)"
Seniorfirst Assisted Living at Valley Manor,1530 East Avenue,Monroe,Rochester,14610,13,"1530 East Avenue
Rochester, NY 14610
(43.148626999000044, -77.56310896799994)"
St. Louise Manor,861 Front Street,Broome,Binghamton,13905,52,"861 Front Street
Binghamton, NY 13905
(42.13065011300006, -75.90595411599998)"
Fox Run at Orchard Park,One Fox Run Lane,Erie,Orchard Park,14127,52,"One Fox Run Lane
Orchard Park, NY 14127
(42.76296000100007, -78.77292998999997)"
"Manor Haven Adult Home, Inc.",222 Columbia Street,Suffolk,Huntington Station,11746,32,"222 Columbia Street
Huntington Station, NY 11746
(40.848768009000025, -73.41969098599998)"
Atria Park of Great Neck,51 Great Neck Road,Nassau,Great Neck,11021,162,"51 Great Neck Road
Great Neck, NY 11021
(40.78600100700004, -73.72841198599997)"
Brookdale Ithaca Memory Care,101 Bundy Road,Tompkins,Ithaca,14850,36,"101 Bundy Road
Ithaca, NY 14850
(42.46044376300006, -76.52962214099995)"
NY Found-Sr Citizens EHP#2 Brown Gardens,225 East 93rd Street,New York,New York,10128,47,"225 East 93rd Street
New York, NY 10128
(40.782849999000064, -73.94952399399995)"
Atria Greece,150 Towngate Road,Monroe,Rochester,14626,79,"150 Towngate Road
Rochester, NY 14626
(43.205477005000034, -77.69812097699997)"
Sanford Home,140-40 Sanford Avenue,Queens,Flushing,11355,200,"140-40 Sanford Avenue
Flushing, NY 11355
(40.75739001000005, -73.82560996099994)"
"Camphill Ghent, Inc.",2542 Route 66,Columbia,Chatham,12037,31,"2542 Route 66
Chatham, NY 12037
(42.34524001900007, -73.61335997199996)"
Pearl Garden Manor,36 Locust Avenue,Suffolk,Islip,11751,26,"36 Locust Avenue
Islip, NY 11751
(40.73038402000003, -73.21323800499994)"
Juniper Glen Alzheimer's Special Care Center,8820 Transit Road,Erie,East Amherst,14051,66,"8820 Transit Road
East Amherst, NY 14051
(43.00880901700003, -78.69806098699996)"
Bishop's Commons at St. Luke,4 Burkle Street,Oswego,Oswego,13126,68,"4 Burkle Street
Oswego, NY 13126
(43.44699299600006, -76.49499701199994)"
The Club at Briarcliff Manor,25 Scarborough Road,Westchester,Briarcliff Manor,10510,145,"25 Scarborough Road
Briarcliff Manor, NY 10510
(41.14864199500005, -73.83967403999998)"
Pleasant Gardens Home for Adults,396 Middle Road,Suffolk,Bayport,11705,27,"396 Middle Road
Bayport, NY 11705
(40.735882004000075, -73.06373100399998)"
Valley Vista Adult Home and Assisted Living Program,141 North Road,Ulster,Highland,12528,89,"141 North Road
Highland, NY 12528
(41.73570198600004, -73.96626198399997)"
"The Shores at Peconic Landing Assisted Living Residence, Inc.",1600 Brecknock Road,Suffolk,Greenport,11944,47,"1600 Brecknock Road
Greenport, NY 11944
(41.121191268000075, -72.36333078399997)"
The Willows,459 East Oak Orchard Street,Orleans,Medina,14103,24,"459 East Oak Orchard Street
Medina, NY 14103
(43.21497998800004, -78.37275102699994)"
Crossroads,120 Gifford Street,Onondaga,Syracuse,13202,59,"120 Gifford Street
Syracuse, NY 13202
(43.04378699200004, -76.15498401999997)"
The Glen at Maple Pointe,260 Maple Avenue,Nassau,Rockville Center,11570,83,"260 Maple Avenue
Rockville Center, NY 11570
(40.65809098600005, -73.63186101099996)"
The Bristal at Armonk,90 Business Park Drive,Westchester,Armonk,10504,171,"90 Business Park Drive
Armonk, NY 10504
(41.122580017000075, -73.70631301499998)"
The W Senior Living at Goshen,46 Harriman Drive,Orange,Goshen,10924,120,"46 Harriman Drive
Goshen, NY 10924
(41.386654014000044, -74.32170102999999)"
Signature Senior Living,631 Foster Avenue,Kings,Brooklyn,11230,199,"631 Foster Avenue
Brooklyn, NY 11230
(40.63057998700003, -73.97058897399995)"
Adirondack Manor HFA D.B.A Scotia Mansion,39 Wallace Street,Schenectady,Scotia,12302,49,"39 Wallace Street
Scotia, NY 12302
(42.833143018000044, -73.96044502699993)"
Promenade at University Place,1228 Western Avenue,Albany,Albany,12203,200,"1228 Western Avenue
Albany, NY 12203
(42.67753902000004, -73.82805303399994)"
Westwood Commons Adult Home,50 Union Square Boulevard,Monroe,North Chili,14514,120,"50 Union Square Boulevard
North Chili, NY 14514
(43.113007011000036, -77.80948101399997)"
Assisted Living at Northern Riverview,89 South Route 9W,Rockland,Haverstraw,10927,105,"89 South Route 9W
Haverstraw, NY 10927
(41.18888300900005, -73.96232902699995)"
Bergquist Memorial Assisted Living Residences,"4600 Route 60, P.O. Box 350",Chautauqua,Gerry,14740,32,"4600 Route 60, P.O. Box 350
Gerry, NY 14740
(42.197512999000026, -79.25280903399994)"
New Gloria's Manor Home for Adults,140 Beach 119th Street,Queens,Rockaway Park,11694,172,"140 Beach 119th Street
Rockaway Park, NY 11694
(40.57746001100003, -73.83871297099995)"
Elderwood Village at Fairport,7 Chardonnay Drive,Monroe,Fairport,14450,80,"7 Chardonnay Drive
Fairport, NY 14450
(43.067240018000064, -77.43665597299997)"
Harbor View Home for Adults,3900 Shore Parkway,Kings,Brooklyn,11235,162,"3900 Shore Parkway
Brooklyn, NY 11235
(40.58465000700005, -73.93091097199994)"
Cohocton Valley Home for Adults,64 South Main Street,Steuben,Avoca,14809,10,"64 South Main Street
Avoca, NY 14809
(42.40626501000003, -77.42061300999995)"
Adirondack Manor HFA D.B.A Adirondack Manor HFA ALP,653 Bay Road,Warren,Queensbury,12804,60,"653 Bay Road
Queensbury, NY 12804
(43.35334999600008, -73.65848998199994)"
Dosberg Manor,2680 North Forest Road,Erie,Amherst,14068,96,"2680 North Forest Road
Amherst, NY 14068
(43.01497320800007, -78.78545993799997)"
The Gardens by Morningstar,132 Ellen Street,Oswego,Oswego,13126,106,"132 Ellen Street
Oswego, NY 13126
(43.443509016000064, -76.51259599099996)"
Maple Rest,61 Rollstone Avenue,Suffolk,West Sayville,11796,27,"61 Rollstone Avenue
West Sayville, NY 11796
(40.731784008000034, -73.09814902599999)"
West Seventy-Fourth Street Home,300 Amsterdam Avenue,New York,New York,10023,95,"300 Amsterdam Avenue
New York, NY 10023
(40.780129987000066, -73.98074197299997)"
Brookdale Ithaca Assisted Living,103 Bundy Road,Tompkins,Ithaca,14850,53,"103 Bundy Road
Ithaca, NY 14850
(42.45917502000003, -76.52943498299999)"
The Farrar Home,46 Constable Street,Franklin,Malone,12953,30,"46 Constable Street
Malone, NY 12953
(44.85518399400007, -74.28743899499995)"
Sunrise of North Lynbrook,53 Franklin Avenue,Nassau,Lynbrook,11563,138,"53 Franklin Avenue
Lynbrook, NY 11563
(40.669846018000044, -73.67396297599998)"
Boulevard ALP,71-61 159th Street,Queens,Flushing,11365,239,"71-61 159th Street
Flushing, NY 11365
(40.72850002000007, -73.80993303599996)"
The Inn at Millbrook,560 Flint Road,Dutchess,Millbrook,12545,40,"560 Flint Road
Millbrook, NY 12545
(41.73821576100005, -73.66432411799997)"
RPH-West,48 Cottage Grove Circle,Monroe,North Chili,14514,52,"48 Cottage Grove Circle
North Chili, NY 14514
(43.12069698800008, -77.80998702999995)"
Meadowview at the Wartburg,2 Wartburg Place,Westchester,Mount Vernon,10552,105,"2 Wartburg Place
Mount Vernon, NY 10552
(40.917747924000025, -73.81316105299999)"
Brookhaven Care Center,111 Beaverdam Road,Suffolk,Brookhaven,11719,182,"111 Beaverdam Road
Brookhaven, NY 11719
(40.773340017000066, -72.93456696599998)"
Yorktown Assisted Living Residence,2276 Catherine Street,Westchester,Cortlandt Manor,10567,85,"2276 Catherine Street
Cortlandt Manor, NY 10567
(41.281014422000055, -73.84979992099994)"
Woodland Pond at New Paltz,100 Woodland Pond Circle,Ulster,New Paltz,12561,60,"100 Woodland Pond Circle
New Paltz, NY 12561
(41.758050989000026, -74.06229596299994)"
The Bristal at Jericho,310 Jericho Turnpike,Nassau,Jericho,11753,200,"310 Jericho Turnpike
Jericho, NY 11753
(40.79182701700006, -73.54164097199998)"
The Meadows,2650 North Forest Road,Erie,Getzville,14068,48,"2650 North Forest Road
Getzville, NY 14068
(43.01405388000006, -78.78447154699995)"
Home of  the Good Shepherd at Highpointe,26 Rock Rose Way,Saratoga,Malta,12020,86,"26 Rock Rose Way
Malta, NY 12020
(42.98375001800008, -73.78767296399997)"
Five Star Premier Residences of Yonkers,537 Riverdale Avenue,Westchester,Yonkers,10705,84,"537 Riverdale Avenue
Yonkers, NY 10705
(40.91373400300006, -73.90327600499995)"
McPeak's Adult Home,286 North Ocean Avenue,Suffolk,Patchogue,11772,51,"286 North Ocean Avenue
Patchogue, NY 11772
(40.77353301000005, -73.01572097099995)"
Family Srvs/Rochester EHP2 Jonathan Child Project,399 Colvin Avenue,Monroe,Rochester,14611,30,"399 Colvin Avenue
Rochester, NY 14611
(43.158644002000074, -77.64177296199995)"
Atria Crossgate,140 Washington Avenue Extension,Albany,Albany,12203,83,"140 Washington Avenue Extension
Albany, NY 12203
(42.69492799100004, -73.85116898199993)"
The Manor House,427 East Main Street,Genesee,Batavia,14020,60,"427 East Main Street
Batavia, NY 14020
(42.99662998600007, -78.17324999599998)"
Field of Dreams Senior Living,3260 N. 7th Street,Cattaraugus,Allegany,14706,140,"3260 N. 7th Street
Allegany, NY 14706
(42.09106857300003, -78.47664583699998)"
New Broadview Home For Adults,70 Father Capodanno Boulevard,Richmond,Staten Island,10305,200,"70 Father Capodanno Boulevard
Staten Island, NY 10305
(40.594259985000065, -74.06264003999996)"
The Cambridge,4 West Main Street,Washington,Cambridge,12816,40,"4 West Main Street
Cambridge, NY 12816
(43.028082991000076, -73.38095893199994)"
The Mohawk Homestead,62 East Main Street,Herkimer,Mohawk,13407,41,"62 East Main Street
Mohawk, NY 13407
(43.012299995000035, -74.99953003399997)"
"Hyde Park Assisted Living Facility, Inc.",394 Violet Avenue,Dutchess,Poughkeepsie,12601,78,"394 Violet Avenue
Poughkeepsie, NY 12601
(41.73943901500007, -73.90868199699997)"
Genesee Adult Home,278 Bank Street,Genesee,Batavia,14020,80,"278 Bank Street
Batavia, NY 14020
(43.00871058300004, -78.17608664399995)"
"Sutton Gardens, LLC",147-02 34th Avenue,Queens,Flushing,11354,47,"147-02 34th Avenue
Flushing, NY 11354
(40.76707001800003, -73.81964397299998)"
Christian Fellowship House,369 Split Rock Road,Nassau,Syosset,11791,45,"369 Split Rock Road
Syosset, NY 11791
(40.83564702000007, -73.51973503499994)"
Heathwood Assisted Living at Williamsville,815 Hopkins Road,Erie,Williamsville,14221,115,"815 Hopkins Road
Williamsville, NY 14221
(43.000670985000056, -78.73886702499993)"
The Glen at Maple Pointe,260 Maple Avenue,Nassau,Rockville Center,11570,60,"260 Maple Avenue
Rockville Center, NY 11570
(40.65809098600005, -73.63186101099996)"
Kenwood Manor,141 Rockefeller Road,Albany,Delmar,12054,67,"141 Rockefeller Road
Delmar, NY 12054
(42.62548199500003, -73.80340596399998)"
Mount View Assisted Living,5465 Upper Mountain Road,Niagara,Lockport,14094,156,"5465 Upper Mountain Road
Lockport, NY 14094
(43.17567498100004, -78.73933196899998)"
"Surfside Manor Home for Adults, LLC",95-02 Rockaway Beach Boulevard,Queens,Rockaway Beach,11693,200,"95-02 Rockaway Beach Boulevard
Rockaway Beach, NY 11693
(40.58565001000005, -73.81762602999999)"
"The Sentinel of Amsterdam, LLC",10 Market Street,Montgomery,Amsterdam,12010,150,"10 Market Street
Amsterdam, NY 12010
(42.93821000600008, -74.19368003199997)"
Lincoln Rest Home,12 Lincoln Avenue,Westchester,Ardsley,10502,23,"12 Lincoln Avenue
Ardsley, NY 10502
(41.00953798300003, -73.84439296699998)"
Horizons,3132 State Route 21 South,Ontario,Canandaigua,14424,76,"3132 State Route 21 South
Canandaigua, NY 14424
(42.896816484000055, -77.26727133499998)"
St. Michael's Home,3 Lehman Terrace,Westchester,Yonkers,10705,60,"3 Lehman Terrace
Yonkers, NY 10705
(40.913980012000025, -73.90140298499995)"
Cook Adult Home,1 Prospect Street,Saratoga,Mechanicville,12118,13,"1 Prospect Street
Mechanicville, NY 12118
(42.90102298000005, -73.69608600299995)"
Chester Hill Adult Home,187 Cottage Avenue,Westchester,Mount Vernon,10550,21,"187 Cottage Avenue
Mount Vernon, NY 10550
(40.91764101800004, -73.83311302099997)"
Camillus Ridge Terrace,2453 W. Genesee Turnpike,Onondaga,Camillus,13031,56,"2453 W. Genesee Turnpike
Camillus, NY 13031
(43.03609692800006, -76.33842484199994)"
Claddagh Care (L.B.S.H.) EHP #1,34 Church Street Suite 1,St. Lawrence,Brasher Falls,13613,28,"34 Church Street Suite 1
Brasher Falls, NY 13613
(44.80254099000007, -74.77295897699997)"
Sunrise of Smithtown,"30 Hauppauge, Route 111",Suffolk,Smithtown,11787,104,"30 Hauppauge, Route 111
Smithtown, NY 11787
(40.854936604000045, -73.18761093099994)"
Kendal on Hudson,1010 Kendal Way,Westchester,Sleepy Hollow,10591,47,"1010 Kendal Way
Sleepy Hollow, NY 10591
(41.10902300200007, -73.86704799399996)"
Brandywine Senior Living at Huntington Terrace,70 Pinelawn Road,Suffolk,Melville,11747,54,"70 Pinelawn Road
Melville, NY 11747
(40.77994801600005, -73.40525097799997)"
The Landing of Brighton,1350 Westfall Road,Monroe,Rochester,14618,121,"1350 Westfall Road
Rochester, NY 14618
(43.11688100100008, -77.58200202999996)"
The Pavilion at Vestal,105 West Sheedy Road,Broome,Vestal,13850,40,"105 West Sheedy Road
Vestal, NY 13850
(42.053434999000046, -76.03330703299997)"
Garden House For Adults,91 Walnut Street,Broome,Binghamton,13905,24,"91 Walnut Street
Binghamton, NY 13905
(42.10130400600008, -75.92332598599995)"
Amber Court of Brooklyn,650 East 104th Street,Kings,Brooklyn,11236,224,"650 East 104th Street
Brooklyn, NY 11236
(40.64905998800003, -73.89789297899995)"
"Briarwood Manor, Inc.",1001 Lincoln Avenue,Niagara,Lockport,14094,160,"1001 Lincoln Avenue
Lockport, NY 14094
(43.15367701100007, -78.66865198999994)"
Westminster Manor,81 South Street,Cayuga,Auburn,13021,37,"81 South Street
Auburn, NY 13021
(42.92522099000007, -76.56654803899994)"
East Road Adult Home,7731 East Road,Lewis,Lowville,13367,20,"7731 East Road
Lowville, NY 13367
(43.84369099700007, -75.51331496599994)"
Brookdale Clinton,115 Brookside Drive,Oneida,Clinton,13323,40,"115 Brookside Drive
Clinton, NY 13323
(43.039806363000025, -75.36023126999999)"
Samuel F. Vilas Home,61 Beekman Street,Clinton,Plattsburgh,12901,44,"61 Beekman Street
Plattsburgh, NY 12901
(44.698968998000055, -73.46715896099994)"
Glenmere at Cloverwood,One Wheatley Terrace,Monroe,Pittsford,14534,77,"One Wheatley Terrace
Pittsford, NY 14534
(43.08333398500008, -77.54710196399998)"
Brookdale Fayetteville,5125 Highbridge Street,Onondaga,Fayetteville,13066,52,"5125 Highbridge Street
Fayetteville, NY 13066
(43.01907500400006, -76.01196503099999)"
Atria Riverdale,3718-3726 Henry Hudson Parkway,Bronx,Riverdale,10463,195,"3718-3726 Henry Hudson Parkway
Riverdale, NY 10463
(40.88832308700006, -73.91016206699999)"
The Bristal at West Babylon,520 Montauk Highway (Unit A),Suffolk,West Babylon,11704,187,"520 Montauk Highway (Unit A)
West Babylon, NY 11704
(40.688084203000074, -73.34026454499997)"
Brooklyn Boulevard ALP,636 Louisiana Avenue,Kings,Brooklyn,11239,184,"636 Louisiana Avenue
Brooklyn, NY 11239
(40.64682000800008, -73.88565104199995)"
Brightview Lake Tappan,31 Hunt Road,Rockland,Orangeburg,10962,85,"31 Hunt Road
Orangeburg, NY 10962
(41.042426015000046, -73.98786097499993)"
Laurelwood at the Highlands,300 Hahnemann Trail,Monroe,Pittsford,14534,68,"300 Hahnemann Trail
Pittsford, NY 14534
(43.085383988000046, -77.49718697599997)"
Atria Huntington,165 Beverly Road,Suffolk,Huntington,11746,198,"165 Beverly Road
Huntington, NY 11746
(40.82954298300007, -73.38113599099995)"
Rochester Presbyterian Home,256 Thurston Road,Monroe,Rochester,14619,102,"256 Thurston Road
Rochester, NY 14619
(43.13975601100003, -77.65039299499995)"
Ingersoll Place,3359 Consaul Road,Schenectady,Schenectady,12304,78,"3359 Consaul Road
Schenectady, NY 12304
(42.78039201300004, -73.88743403999996)"
Parkview Home for Adults,3200 Bronx Boulevard,Bronx,Bronx,10467,134,"3200 Bronx Boulevard
Bronx, NY 10467
(40.871739998000066, -73.87022699899995)"
Faatz-Crofut Home for the Elderly,46 Grant Avenue,Cayuga,Auburn,13021,53,"46 Grant Avenue
Auburn, NY 13021
(42.93814399900003, -76.55539197699994)"
Brookdale Manlius,100 Flume Road,Onondaga,Manlius,13104,86,"100 Flume Road
Manlius, NY 13104
(43.00028898000005, -75.97871603299996)"
Brookdale East Side,7164 East Genesee Street,Onondaga,Fayetteville,13066,88,"7164 East Genesee Street
Fayetteville, NY 13066
(43.02587800800006, -76.02701297799996)"
Chenango County Home Preston Manor,"1150 County Road 4  RFD #2, Box 203",Chenango,Oxford,13830,48,"1150 County Road 4  RFD #2, Box 203
Oxford, NY 13830
(42.52686999400004, -75.60884996999994)"
Brompton Heights,275 Brompton Road,Erie,Williamsville,14221,200,"275 Brompton Road
Williamsville, NY 14221
(42.97342401600008, -78.70721796499998)"
Adirondack Manor Home for Adults-Camden,128 Main Street,Oneida,Camden,13316,40,"128 Main Street
Camden, NY 13316
(43.33890998900006, -75.74919001899997)"
Heather Heights of Pittsford,160 West Jefferson Road,Monroe,Pittsford,14534,120,"160 West Jefferson Road
Pittsford, NY 14534
(43.08793598500006, -77.53128799499996)"
NY Found-Sr Citizens EHP#4 Ridge Street Gardens,80-92 Ridge Street,New York,New York,10002,47,"80-92 Ridge Street
New York, NY 10002
(40.71798001900004, -73.98354496499996)"
Brookdale Vestal West,421 Plaza Drive,Broome,Vestal,13850,65,"421 Plaza Drive
Vestal, NY 13850
(42.08974599000004, -75.95473197099994)"
Maplewood Assisted Living,205 State Street Road,St. Lawrence,Canton,13617,48,"205 State Street Road
Canton, NY 13617
(44.61398002000004, -75.16162003199997)"
Inspire of McClelland,126 Old Castle Point Road,Dutchess,Wappinger Falls,12590,75,"126 Old Castle Point Road
Wappinger Falls, NY 12590
(41.53884643300006, -73.96539603699995)"
The Pavilion at Pine Valley,661 North Main Street,Rockland,Spring Valley,10977,56,"661 North Main Street
Spring Valley, NY 10977
(41.13689899000008, -74.03988300499998)"
Atria Delmar Place,467 Delaware Ave,Albany,Delmar,12054,106,"467 Delaware Ave
Delmar, NY 12054
(42.61950800300008, -73.84289101399997)"
Brandywine Senior Living at Huntington Terrace,70 Pinelawn Road,Suffolk,Melville,11747,110,"70 Pinelawn Road
Melville, NY 11747
(40.77994801600005, -73.40525097799997)"
Tappan Zee Manor,51 Mountainview Avenue,Rockland,Nyack,10960,150,"51 Mountainview Avenue
Nyack, NY 10960
(41.09629600400007, -73.93381395999995)"
Hultquist Place,715 Falconer Street,Chautauqua,Jamestown,14701,96,"715 Falconer Street
Jamestown, NY 14701
(42.11482099800003, -79.20925297699995)"
Ashton Place,190 Ashton Court,Ontario,Clifton Springs,14432,60,"190 Ashton Court
Clifton Springs, NY 14432
(42.96663400400007, -77.14184197499998)"
Cumberland Gardens NY Foundation EHP #6,425 Cumberland Street,Kings,Brooklyn,11201,47,"425 Cumberland Street
Brooklyn, NY 11201
(40.68304001400003, -73.97164098599995)"
Countryside Adult Home,353 Schroon River Road,Warren,Warrensburg,12885,48,"353 Schroon River Road
Warrensburg, NY 12885
(43.51136001900005, -73.75035999999994)"
Memory Garden,560 Fairmount Avenue,Chautauqua,Jamestown,14701,56,"560 Fairmount Avenue
Jamestown, NY 14701
(42.09747402100004, -79.27216502799996)"
Babylon Beach House Home for Adults,23 Yacht Club Road,Suffolk,Babylon,11702,67,"23 Yacht Club Road
Babylon, NY 11702
(40.68474598300003, -73.31606803199998)"
The Plaza at Clover Lake,838 Fair Street,Putnam,Carmel,10512,175,"838 Fair Street
Carmel, NY 10512
(41.46984000300006, -73.63944001199997)"
Sunrise of Glen Cove,39 Forest Avenue,Nassau,Glen Cove,11542,111,"39 Forest Avenue
Glen Cove, NY 11542
(40.871678014000054, -73.62712498499997)"
The Northfield,4560 Nine Mile Point Road,Monroe,Fairport,14450,79,"4560 Nine Mile Point Road
Fairport, NY 14450
(43.11233101100004, -77.44054802599999)"
Wavecrest Home for Adults,242 Beach 20th Street,Queens,Far Rockaway,11691,120,"242 Beach 20th Street
Far Rockaway, NY 11691
(40.59660000300005, -73.75405298299995)"
Woodview Court,1015 Saw Mill River Road,Westchester,Ardsley,10502,40,"1015 Saw Mill River Road
Ardsley, NY 10502
(41.022001999000054, -73.84395802999995)"
Symphony Manor at Lancaster,5539 Broadway,Erie,Lancaster,14086,117,"5539 Broadway
Lancaster, NY 14086
(42.898485435000055, -78.66393278699996)"
Kings Adult Care Center,2255 Cropsey Avenue,Kings,Brooklyn,11214,200,"2255 Cropsey Avenue
Brooklyn, NY 11214
(40.59602999200007, -73.99676900999998)"
"Evergreen Place, Enhanced, Assisted Living & Memory Care",90 West Avenue,Monroe,Brockport,14420,114,"90 West Avenue
Brockport, NY 14420
(43.222911993000025, -77.94220702599995)"
Brookdale Niskayuna,1786 Union Street,Schenectady,Niskayuna,12309,110,"1786 Union Street
Niskayuna, NY 12309
(42.80102398400004, -73.89784796799995)"
Legacy at Maiden Park,749 Maiden Lane,Monroe,Rochester,14615,98,"749 Maiden Lane
Rochester, NY 14615
(43.22217099100004, -77.66410302299994)"
Mary Agnes Manor ALP,307 Porter Avenue,Erie,Buffalo,14201,230,"307 Porter Avenue
Buffalo, NY 14201
(42.90191719500007, -78.89089411799995)"
Orchard Estate of Woodbury,900 Woodbury Road,Nassau,Woodbury,11797,105,"900 Woodbury Road
Woodbury, NY 11797
(40.79740400000003, -73.48579897199994)"
Lutheran Home of Central New York,108 Utica Road,Oneida,Clinton,13323,68,"108 Utica Road
Clinton, NY 13323
(43.05620000400006, -75.36448999999999)"
Pinecrest Home For Adults,7 Charlesworth Avenue,Steuben,Avoca,14809,17,"7 Charlesworth Avenue
Avoca, NY 14809
(42.41039800100003, -77.41803800599996)"
The Landing of Poughkeepsie,251 Boardman Road,Dutchess,Poughkeepsie,12603,121,"251 Boardman Road
Poughkeepsie, NY 12603
(41.659342009000056, -73.89234801499998)"
L'Dor,156 West Clarkstown Road,Rockland,New City,10956,44,"156 West Clarkstown Road
New City, NY 10956
(41.13556999800005, -74.02185202299995)"
Atria Glen Cove,146 Glen Street,Nassau,Glen Cove,11542,128,"146 Glen Street
Glen Cove, NY 11542
(40.86265300900004, -73.62478601399994)"
The Terrace at The Eddy Memorial,2256 Burdett Avenue,Rensselaer,Troy,12180,69,"2256 Burdett Avenue
Troy, NY 12180
(42.734826018000035, -73.66985601099998)"
Brightview Sayville,455 Broadway Avenue,Suffolk,Sayville,11782,92,"455 Broadway Avenue
Sayville, NY 11782
(40.76580589900004, -73.06624740499996)"
Green Briar Adult Home,26 Old Route 82,Dutchess,Millbrook,12545,53,"26 Old Route 82
Millbrook, NY 12545
(41.77180819100005, -73.70071294199994)"
Peregrine Senior Living at Colonie,5 South Family Drive,Albany,Colonie,12205,68,"5 South Family Drive
Colonie, NY 12205
(42.73280400900006, -73.82418302499997)"
Sunrise of East Meadow,1555 Glenn Curtiss Blvd.,Nassau,East Meadow,11554,107,"1555 Glenn Curtiss Blvd.
East Meadow, NY 11554
(40.717419018000044, -73.57572002999996)"
Braemar Living at Wallkill,21 Riverside Drive,Orange,Middletown,10941,200,"21 Riverside Drive
Middletown, NY 10941
(41.450517998000066, -74.34916802399994)"
Sunnydale Home,809 Stuart Avenue,Westchester,Mamaroneck,10543,17,"809 Stuart Avenue
Mamaroneck, NY 10543
(40.95211000200004, -73.72442002099996)"
Randolph Manor,40 East Main Street,Cattaraugus,Randolph,14772,50,"40 East Main Street
Randolph, NY 14772
(42.16400600600008, -78.96932996799995)"
The Arbors at Bohemia,1065 Smithtown Avenue,Suffolk,Bohemia,11716,200,"1065 Smithtown Avenue
Bohemia, NY 11716
(40.76824398700006, -73.10660603099996)"
Canterbury Woods Gates Circle,1 Gates Circle,Erie,Buffalo,14209,5,"1 Gates Circle
Buffalo, NY 14209
(42.92031436600007, -78.86751361799998)"
Loretto EHP #3 Nottingham,1301 Nottingham Road,Onondaga,Jamesville,13078,64,"1301 Nottingham Road
Jamesville, NY 13078
(43.01182998000007, -76.08513401599998)"
Wheatfield Commons,3920 Forest Parkway,Niagara,North Tonawanda,14120,114,"3920 Forest Parkway
North Tonawanda, NY 14120
(43.06271319500007, -78.83351782399995)"
Arkell Hall,55 Montgomery Street,Montgomery,Canajoharie,13317,24,"55 Montgomery Street
Canajoharie, NY 13317
(42.90463998100006, -74.56894001699999)"
Olsen Rest,P.O. Box 256 366 Gibbs Pond,Suffolk,Nesconset,11767,40,"P.O. Box 256 366 Gibbs Pond
Nesconset, NY 11767
(40.83178907800004, -73.13394552899996)"
St. Zita's Villa,50 Saddle River Road,Rockland,Monsey,10952,35,"50 Saddle River Road
Monsey, NY 10952
(41.11167000700004, -74.07258801799998)"
Hudson Valley Senior Residence,80 Washington Avenue,Ulster,Kingston,12401,48,"80 Washington Avenue
Kingston, NY 12401
(41.92614800400003, -74.01617403799997)"
River View Gardens NY Foundation EHP #8,4-12 49th Avenue,Queens,Long Island City,11101,46,"4-12 49th Avenue
Long Island City, NY 11101
(40.74409999900007, -73.95801896899997)"
The Brielle at Seaview,140 Friendship Lane,Richmond,Staten Island,10314,188,"140 Friendship Lane
Staten Island, NY 10314
(40.59518999900007, -74.13066798499995)"
Sunrise of Fleetwood,500 North Columbus Avenue,Westchester,Mount Vernon,10552,136,"500 North Columbus Avenue
Mount Vernon, NY 10552
(40.92734701000006, -73.82167398599995)"
Eden Heights of West Seneca,3030 Clinton Street,Erie,West Seneca,14224,120,"3030 Clinton Street
West Seneca, NY 14224
(42.86290900000006, -78.76640501399999)"
New Windsor Country Inn,450 Temple Hill Road P.O. Box 4328,Orange,New Windsor,12553,86,"450 Temple Hill Road P.O. Box 4328
New Windsor, NY 12553
(41.479737983000064, -74.06180604099995)"
"Moffat Gardens ALP, Inc",22 Moffat Street,Kings,Brooklyn,11207,30,"22 Moffat Street
Brooklyn, NY 11207
(40.683719996000036, -73.90995504099999)"
The Bristal at Westbury,117 Post Ave.,Nassau,Westbury,11590,180,"117 Post Ave.
Westbury, NY 11590
(40.75234800100003, -73.58833001599999)"
